TOP.6441c322.0008899c	user_options->machine_readable	0
TOP.6441c322.0008899c	user_options->markov_classic	0
TOP.6441c322.0008899c	user_options->markov_disable	0
TOP.6441c322.0008899c	user_options->markov_inverse	0
TOP.6441c322.0008899c	user_options->markov_threshold	256
TOP.6441c322.0008899c	user_options->multiply_accel_disable	0
TOP.6441c322.0008899c	user_options->backend_info	0
TOP.6441c322.0008899c	user_options->backend_vector_width	0
TOP.6441c322.0008899c	user_options->optimized_kernel_enable	1
TOP.6441c322.0008899c	user_options->outfile_autohex	1
TOP.6441c322.0008899c	user_options->outfile_check_timer	5
TOP.6441c322.0008899c	user_options->outfile_format	3
TOP.6441c322.0008899c	user_options->wordlist_autohex_disable	0
TOP.6441c322.0008899c	user_options->potfile_disable	0
TOP.6441c322.0008899c	user_options->progress_only	0
TOP.6441c322.0008899c	user_options->quiet	0
TOP.6441c322.0008899c	user_options->remove	0
TOP.6441c322.0008899c	user_options->remove_timer	60
TOP.6441c322.0008899c	user_options->restore	0
TOP.6441c322.0008899c	user_options->restore_disable	0
TOP.6441c322.0008899c	user_options->restore_timer	1
TOP.6441c322.0008899c	user_options->rp_files_cnt	1
TOP.6441c322.0008899c	user_options->rp_gen	0
TOP.6441c322.0008899c	user_options->rp_gen_func_max	4
TOP.6441c322.0008899c	user_options->rp_gen_func_min	1
TOP.6441c322.0008899c	user_options->rp_gen_seed	0
TOP.6441c322.0008899c	user_options->runtime	0
TOP.6441c322.0008899c	user_options->scrypt_tmto	0
TOP.6441c322.0008899c	user_options->segment_size	33554432
TOP.6441c322.0008899c	user_options->self_test_disable	0
TOP.6441c322.0008899c	user_options->slow_candidates	0
TOP.6441c322.0008899c	user_options->show	0
TOP.6441c322.0008899c	user_options->speed_only	0
TOP.6441c322.0008899c	user_options->spin_damp	0
TOP.6441c322.0008899c	user_options->status	0
TOP.6441c322.0008899c	user_options->status_json	0
TOP.6441c322.0008899c	user_options->status_timer	10
TOP.6441c322.0008899c	user_options->stdout_flag	0
TOP.6441c322.0008899c	user_options->usage	0
TOP.6441c322.0008899c	user_options->username	0
TOP.6441c322.0008899c	user_options->veracrypt_pim_start	485
TOP.6441c322.0008899c	user_options->veracrypt_pim_stop	485
TOP.6441c322.0008899c	user_options->version	0
TOP.6441c322.0008899c	user_options->workload_profile	3
TOP.6441c322.0008899c	user_options->brain_client	0
TOP.6441c322.0008899c	user_options->brain_client_features	2
TOP.6441c322.0008899c	user_options->brain_server	0
TOP.6441c322.0008899c	user_options->brain_server_timer	300
TOP.6441c322.0008899c	user_options->brain_port	6863
TOP.6441c322.0008899c	user_options->brain_session	0
TOP.6441c322.0008899c	hashes->hashfile	./hashes.txt
TOP.6441c322.0008899c	hashes->hashlist_mode	5
TOP.6441c322.0008899c	hashes->hashlist_format	0
TOP.6441c322.0008899c	hashes->hashes_cnt	0
TOP.6441c322.0008899c	hashes->digests_cnt	1
TOP.6441c322.0008899c	hashes->digests_done_pot	0
TOP.6441c322.0008899c	hashes->digests_done_zero	0
TOP.6441c322.0008899c	hashes->digests_done	0
TOP.6441c322.0008899c	hashes->salts_cnt	1
TOP.6441c322.0008899c	hashes->salts_done	0
TOP.6441c322.0008899c	SUB.6441c324.0003ee66	START
TOP.6441c322.0008899c	SUB.6441c324.0003ee66	straight_ctx->dict	./buny/rockyou.txt
TOP.6441c322.0008899c	SUB.6441c324.0003ee66	rulefile	./buny/hob064.rule
TOP.6441e58f.0008ce35	START
TOP.6441e58f.0008ce35	folder_config->cwd	/home
TOP.6441e58f.0008ce35	folder_config->install_dir	/usr/bin
TOP.6441e58f.0008ce35	folder_config->profile_dir	/root/.local/share/hashcat
TOP.6441e58f.0008ce35	folder_config->session_dir	/root/.local/share/hashcat/sessions
TOP.6441e58f.0008ce35	folder_config->shared_dir	/usr/share/hashcat
TOP.6441e58f.0008ce35	user_options->encoding_from	utf-8
TOP.6441e58f.0008ce35	user_options->encoding_to	utf-8
TOP.6441e58f.0008ce35	user_options->rp_files[0]	./buny/hob064.rule
TOP.6441e58f.0008ce35	user_options->rule_buf_l	:
